Dog Breed,ID Code,Breed Group,Temperament,Weight,Height,Bred For,Life Span,Origin,Reference Image ID,min_weight,max_weight,min_height,max_height,min_lifespan,max_lifespan
Affenpinscher,1,Toy,"Stubborn, Curious, Playful, Adventurous, Active, Fun-loving",6 - 13,9 - 11.5,"Small rodent hunting, lapdog",10 - 12 ,"Germany, France",BJa4kxc4X,6 ,13.0,9 ,11.5,10 ,12.0
Afghan Hound,2,Hound,"Aloof, Clownish, Dignified, Independent, Happy",50 - 60,25 - 27,Coursing and hunting,10 - 13 ,"Afghanistan, Iran, Pakistan",hMyT4CDXR,50 ,60.0,25 ,27.0,10 ,13.0
African Hunting Dog,3,none,"Wild, Hardworking, Dutiful",44 - 66,30,A wild pack animal,11 ,,rkiByec47,44 ,66.0,30,,11 ,
Airedale Terrier,4,Terrier,"Outgoing, Friendly, Alert, Confident, Intelligent, Courageous",40 - 65,21 - 23,"Badger, otter hunting",10 - 13 ,"United Kingdom, England",1-7cgoZSh,40 ,65.0,21 ,23.0,10 ,13.0
Akbash Dog,5,Working,"Loyal, Independent, Intelligent, Brave",90 - 120,28 - 34,Sheep guarding,10 - 12 ,,26pHT3Qk7,90 ,120.0,28 ,34.0,10 ,12.0
Akita,6,Working,"Docile, Alert, Responsive, Dignified, Composed, Friendly, Receptive, Faithful, Courageous",65 - 115,24 - 28,Hunting bears,10 - 14 ,none,BFRYBufpm,65 ,115.0,24 ,28.0,10 ,14.0
Alapaha Blue Blood Bulldog,7,Mixed,"Loving, Protective, Trainable, Dutiful, Responsible",55 - 90,18 - 24,Guarding,12 - 13 ,none,33mJ-V3RX,55 ,90.0,18 ,24.0,12 ,13.0
Alaskan Husky,8,Mixed,"Friendly, Energetic, Loyal, Gentle, Confident",38 - 50,23 - 26,Sled pulling,10 - 13 ,none,-HgpNnGXl,38 ,50.0,23 ,26.0,10 ,13.0
Alaskan Malamute,9,Working,"Friendly, Affectionate, Devoted, Loyal, Dignified, Playful",65 - 100,23 - 25,"Hauling heavy freight, Sled pulling",12 - 15 ,none,dW5UucTIW,65 ,100.0,23 ,25.0,12 ,15.0
American Bulldog,10,Working,"Friendly, Assertive, Energetic, Loyal, Gentle, Confident, Dominant",60 - 120,22 - 27,none,10 - 12 ,none,pk1AAdloG,60 ,120.0,22 ,27.0,10 ,12.0
American Bully,11,,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous",30 - 150,14 - 17,Family companion dog,8 – 15 ,none,sqQJDtbpY,30 ,150.0,14 ,17.0,8 – 15 ,
American Eskimo Dog,12,Non-Sporting,"Friendly, Alert, Reserved, Intelligent, Protective",20 - 40,15 - 19,Circus performer,12 - 15 ,none,Bymjyec4m,20 ,40.0,15 ,19.0,12 ,15.0
American Eskimo Dog (Miniature),13,none,"Friendly, Alert, Reserved, Intelligent, Protective",7 - 10,9 - 12,Companionship,13 – 15 ,none,_gn8GLrE6,7 ,10.0,9 ,12.0,13 – 15 ,
American Foxhound,14,Hound,"Kind, Sweet-Tempered, Loyal, Independent, Intelligent, Loving",65 - 75,21 - 28,"Fox hunting, scent hound",8 - 15 ,none,S14n1x9NQ,65 ,75.0,21 ,28.0,8 ,15.0
American Pit Bull Terrier,15,Terrier,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous",30 - 60,17 - 21,Fighting,10 - 15 ,none,HkC31gcNm,30 ,60.0,17 ,21.0,10 ,15.0
American Staffordshire Terrier,16,Terrier,"Tenacious, Friendly, Devoted, Loyal, Attentive, Courageous",50 - 60,17 - 19,,12 - 15 ,none,rJIakgc4m,50 ,60.0,17 ,19.0,12 ,15.0
