Dog Breed,Breed Group,Temperament
Affenpinscher,Toy,Stubborn
Affenpinscher,Toy, Curious
Affenpinscher,Toy, Playful
Affenpinscher,Toy, Adventurous
Affenpinscher,Toy, Active
Affenpinscher,Toy, Fun-loving
Afghan Hound,Hound,Aloof
Afghan Hound,Hound, Clownish
Afghan Hound,Hound, Dignified
Afghan Hound,Hound, Independent
Afghan Hound,Hound, Happy
African Hunting Dog,none,Wild
African Hunting Dog,none, Hardworking
African Hunting Dog,none, Dutiful
Airedale Terrier,Terrier,Outgoing
Airedale Terrier,Terrier, Friendly
Airedale Terrier,Terrier, Alert
Airedale Terrier,Terrier, Confident
Airedale Terrier,Terrier, Intelligent
Airedale Terrier,Terrier, Courageous
Akbash Dog,Working,Loyal
Akbash Dog,Working, Independent
Akbash Dog,Working, Intelligent
Akbash Dog,Working, Brave
Akita,Working,Docile
Akita,Working, Alert
Akita,Working, Responsive
Akita,Working, Dignified
Akita,Working, Composed
Akita,Working, Friendly
Akita,Working, Receptive
Akita,Working, Faithful
Akita,Working, Courageous
Alapaha Blue Blood Bulldog,Mixed,Loving
Alapaha Blue Blood Bulldog,Mixed, Protective
Alapaha Blue Blood Bulldog,Mixed, Trainable
Alapaha Blue Blood Bulldog,Mixed, Dutiful
Alapaha Blue Blood Bulldog,Mixed, Responsible
Alaskan Husky,Mixed,Friendly
Alaskan Husky,Mixed, Energetic
Alaskan Husky,Mixed, Loyal
Alaskan Husky,Mixed, Gentle
Alaskan Husky,Mixed, Confident
Alaskan Malamute,Working,Friendly
Alaskan Malamute,Working, Affectionate
Alaskan Malamute,Working, Devoted
Alaskan Malamute,Working, Loyal
Alaskan Malamute,Working, Dignified
Alaskan Malamute,Working, Playful
American Bulldog,Working,Friendly
American Bulldog,Working, Assertive
American Bulldog,Working, Energetic
American Bulldog,Working, Loyal
American Bulldog,Working, Gentle
American Bulldog,Working, Confident
American Bulldog,Working, Dominant
American Bully,,Strong Willed
American Bully,, Stubborn
American Bully,, Friendly
American Bully,, Clownish
American Bully,, Affectionate
American Bully,, Loyal
American Bully,, Obedient
American Bully,, Intelligent
American Bully,, Courageous
American Eskimo Dog,Non-Sporting,Friendly
American Eskimo Dog,Non-Sporting, Alert
American Eskimo Dog,Non-Sporting, Reserved
American Eskimo Dog,Non-Sporting, Intelligent
American Eskimo Dog,Non-Sporting, Protective
American Eskimo Dog (Miniature),none,Friendly
American Eskimo Dog (Miniature),none, Alert
American Eskimo Dog (Miniature),none, Reserved
American Eskimo Dog (Miniature),none, Intelligent
American Eskimo Dog (Miniature),none, Protective
American Foxhound,Hound,Kind
American Foxhound,Hound, Sweet-Tempered
American Foxhound,Hound, Loyal
American Foxhound,Hound, Independent
American Foxhound,Hound, Intelligent
American Foxhound,Hound, Loving
American Pit Bull Terrier,Terrier,Strong Willed
American Pit Bull Terrier,Terrier, Stubborn
American Pit Bull Terrier,Terrier, Friendly
American Pit Bull Terrier,Terrier, Clownish
American Pit Bull Terrier,Terrier, Affectionate
American Pit Bull Terrier,Terrier, Loyal
American Pit Bull Terrier,Terrier, Obedient
American Pit Bull Terrier,Terrier, Intelligent
American Pit Bull Terrier,Terrier, Courageous
American Staffordshire Terrier,Terrier,Tenacious
American Staffordshire Terrier,Terrier, Friendly
American Staffordshire Terrier,Terrier, Devoted
American Staffordshire Terrier,Terrier, Loyal
American Staffordshire Terrier,Terrier, Attentive
American Staffordshire Terrier,Terrier, Courageous
American Water Spaniel,Sporting,Friendly
American Water Spaniel,Sporting, Energetic
American Water Spaniel,Sporting, Obedient
American Water Spaniel,Sporting, Intelligent
American Water Spaniel,Sporting, Protective
American Water Spaniel,Sporting, Trainable
Anatolian Shepherd Dog,Working,Steady
Anatolian Shepherd Dog,Working, Bold
Anatolian Shepherd Dog,Working, Independent
Anatolian Shepherd Dog,Working, Confident
Anatolian Shepherd Dog,Working, Intelligent
Anatolian Shepherd Dog,Working, Proud
Appenzeller Sennenhund,none,Reliable
Appenzeller Sennenhund,none, Fearless
Appenzeller Sennenhund,none, Energetic
Appenzeller Sennenhund,none, Lively
Appenzeller Sennenhund,none, Self-assured
Australian Cattle Dog,Herding,Cautious
Australian Cattle Dog,Herding, Energetic
Australian Cattle Dog,Herding, Loyal
Australian Cattle Dog,Herding, Obedient
Australian Cattle Dog,Herding, Protective
Australian Cattle Dog,Herding, Brave
Australian Kelpie,Herding,Friendly
Australian Kelpie,Herding, Energetic
Australian Kelpie,Herding, Alert
Australian Kelpie,Herding, Loyal
Australian Kelpie,Herding, Intelligent
Australian Kelpie,Herding, Eager
Australian Shepherd,Herding,Good-natured
Australian Shepherd,Herding, Affectionate
Australian Shepherd,Herding, Intelligent
Australian Shepherd,Herding, Active
Australian Shepherd,Herding, Protective
Australian Terrier,Terrier,Spirited
Australian Terrier,Terrier, Alert
Australian Terrier,Terrier, Loyal
Australian Terrier,Terrier, Companionable
Australian Terrier,Terrier, Even Tempered
Australian Terrier,Terrier, Courageous
Azawakh,Hound,Aloof
Azawakh,Hound, Affectionate
Azawakh,Hound, Attentive
Azawakh,Hound, Rugged
Azawakh,Hound, Fierce
Azawakh,Hound, Refined
Barbet,none,Obedient
Barbet,none, Companionable
Barbet,none, Intelligent
Barbet,none, Joyful
Basenji,Hound,Affectionate
Basenji,Hound, Energetic
Basenji,Hound, Alert
Basenji,Hound, Curious
Basenji,Hound, Playful
Basenji,Hound, Intelligent
Basset Bleu de Gascogne,Hound,Affectionate
Basset Bleu de Gascogne,Hound, Lively
Basset Bleu de Gascogne,Hound, Agile
Basset Bleu de Gascogne,Hound, Curious
Basset Bleu de Gascogne,Hound, Happy
Basset Bleu de Gascogne,Hound, Active
Basset Hound,Hound,Tenacious
Basset Hound,Hound, Friendly
Basset Hound,Hound, Affectionate
Basset Hound,Hound, Devoted
Basset Hound,Hound, Sweet-Tempered
Basset Hound,Hound, Gentle
Beagle,Hound,Amiable
Beagle,Hound, Even Tempered
Beagle,Hound, Excitable
Beagle,Hound, Determined
Beagle,Hound, Gentle
Beagle,Hound, Intelligent
Bearded Collie,Herding,Self-confidence
Bearded Collie,Herding, Hardy
Bearded Collie,Herding, Lively
Bearded Collie,Herding, Alert
Bearded Collie,Herding, Intelligent
Bearded Collie,Herding, Active
Beauceron,Herding,Fearless
Beauceron,Herding, Friendly
Beauceron,Herding, Intelligent
Beauceron,Herding, Protective
Beauceron,Herding, Calm
Bedlington Terrier,Terrier,Affectionate
Bedlington Terrier,Terrier, Spirited
Bedlington Terrier,Terrier, Intelligent
Bedlington Terrier,Terrier, Good-tempered
Belgian Malinois,Herding,Watchful
Belgian Malinois,Herding, Alert
Belgian Malinois,Herding, Stubborn
Belgian Malinois,Herding, Friendly
Belgian Malinois,Herding, Confident
Belgian Malinois,Herding, Hard-working
Belgian Malinois,Herding, Active
Belgian Malinois,Herding, Protective
Belgian Tervuren,Herding,Energetic
Belgian Tervuren,Herding, Alert
Belgian Tervuren,Herding, Loyal
Belgian Tervuren,Herding, Intelligent
Belgian Tervuren,Herding, Attentive
Belgian Tervuren,Herding, Protective
Bernese Mountain Dog,Working,Affectionate
Bernese Mountain Dog,Working, Loyal
Bernese Mountain Dog,Working, Intelligent
Bernese Mountain Dog,Working, Faithful
Bichon Frise,Non-Sporting,Feisty
Bichon Frise,Non-Sporting, Affectionate
Bichon Frise,Non-Sporting, Cheerful
Bichon Frise,Non-Sporting, Playful
Bichon Frise,Non-Sporting, Gentle
Bichon Frise,Non-Sporting, Sensitive
Black and Tan Coonhound,Hound,Easygoing
Black and Tan Coonhound,Hound, Gentle
Black and Tan Coonhound,Hound, Adaptable
Black and Tan Coonhound,Hound, Trusting
Black and Tan Coonhound,Hound, Even Tempered
Black and Tan Coonhound,Hound, Lovable
Bloodhound,Hound,Stubborn
Bloodhound,Hound, Affectionate
Bloodhound,Hound, Gentle
Bloodhound,Hound, Even Tempered
Bluetick Coonhound,Hound,Friendly
Bluetick Coonhound,Hound, Intelligent
Bluetick Coonhound,Hound, Active
Boerboel,Working,Obedient
Boerboel,Working, Confident
Boerboel,Working, Intelligent
Boerboel,Working, Dominant
Boerboel,Working, Territorial
Border Collie,Herding,Tenacious
Border Collie,Herding, Keen
Border Collie,Herding, Energetic
Border Collie,Herding, Responsive
Border Collie,Herding, Alert
Border Collie,Herding, Intelligent
Border Terrier,Terrier,Fearless
Border Terrier,Terrier, Affectionate
Border Terrier,Terrier, Alert
Border Terrier,Terrier, Obedient
Border Terrier,Terrier, Intelligent
Border Terrier,Terrier, Even Tempered
Boston Terrier,Non-Sporting,Friendly
Boston Terrier,Non-Sporting, Lively
Boston Terrier,Non-Sporting, Intelligent
Bouvier des Flandres,Herding,Protective
Bouvier des Flandres,Herding, Loyal
Bouvier des Flandres,Herding, Gentle
Bouvier des Flandres,Herding, Intelligent
Bouvier des Flandres,Herding, Familial
Bouvier des Flandres,Herding, Rational
Boxer,Working,Devoted
Boxer,Working, Fearless
Boxer,Working, Friendly
Boxer,Working, Cheerful
Boxer,Working, Energetic
Boxer,Working, Loyal
Boxer,Working, Playful
Boxer,Working, Confident
Boxer,Working, Intelligent
Boxer,Working, Bright
Boxer,Working, Brave
Boxer,Working, Calm
Boykin Spaniel,Sporting,Friendly
Boykin Spaniel,Sporting, Energetic
Boykin Spaniel,Sporting, Companionable
Boykin Spaniel,Sporting, Intelligent
Boykin Spaniel,Sporting, Eager
Boykin Spaniel,Sporting, Trainable
Bracco Italiano,Sporting,Stubborn
Bracco Italiano,Sporting, Affectionate
Bracco Italiano,Sporting, Loyal
Bracco Italiano,Sporting, Playful
Bracco Italiano,Sporting, Companionable
Bracco Italiano,Sporting, Trainable
Briard,Herding,Fearless
Briard,Herding, Loyal
Briard,Herding, Obedient
Briard,Herding, Intelligent
Briard,Herding, Faithful
Briard,Herding, Protective
Brittany,Sporting,Agile
Brittany,Sporting, Adaptable
Brittany,Sporting, Quick
Brittany,Sporting, Intelligent
Brittany,Sporting, Attentive
Brittany,Sporting, Happy
Bull Terrier,Terrier,Trainable
Bull Terrier,Terrier, Protective
Bull Terrier,Terrier, Sweet-Tempered
Bull Terrier,Terrier, Keen
Bull Terrier,Terrier, Active
Bull Terrier (Miniature),none,Trainable
Bull Terrier (Miniature),none, Protective
Bull Terrier (Miniature),none, Sweet-Tempered
Bull Terrier (Miniature),none, Keen
Bull Terrier (Miniature),none, Active
Bull Terrier (Miniature),none, Territorial
Bullmastiff,Working,Docile
Bullmastiff,Working, Reliable
Bullmastiff,Working, Devoted
Bullmastiff,Working, Alert
Bullmastiff,Working, Loyal
Bullmastiff,Working, Reserved
Bullmastiff,Working, Loving
Bullmastiff,Working, Protective
Bullmastiff,Working, Powerful
Bullmastiff,Working, Calm
Bullmastiff,Working, Courageous
Cairn Terrier,Terrier,Hardy
Cairn Terrier,Terrier, Fearless
Cairn Terrier,Terrier, Assertive
Cairn Terrier,Terrier, Gay
Cairn Terrier,Terrier, Intelligent
Cairn Terrier,Terrier, Active
Cane Corso,Working,Trainable
Cane Corso,Working, Reserved
Cane Corso,Working, Stable
Cane Corso,Working, Quiet
Cane Corso,Working, Even Tempered
Cane Corso,Working, Calm
Cardigan Welsh Corgi,Herding,Affectionate
Cardigan Welsh Corgi,Herding, Devoted
Cardigan Welsh Corgi,Herding, Alert
Cardigan Welsh Corgi,Herding, Companionable
Cardigan Welsh Corgi,Herding, Intelligent
Cardigan Welsh Corgi,Herding, Active
Catahoula Leopard Dog,Herding,Energetic
Catahoula Leopard Dog,Herding, Inquisitive
Catahoula Leopard Dog,Herding, Independent
Catahoula Leopard Dog,Herding, Gentle
Catahoula Leopard Dog,Herding, Intelligent
Catahoula Leopard Dog,Herding, Loving
Caucasian Shepherd (Ovcharka),Working,Alert
Caucasian Shepherd (Ovcharka),Working, Quick
Caucasian Shepherd (Ovcharka),Working, Dominant
Caucasian Shepherd (Ovcharka),Working, Powerful
Caucasian Shepherd (Ovcharka),Working, Calm
Caucasian Shepherd (Ovcharka),Working, Strong
Cavalier King Charles Spaniel,Toy,Fearless
Cavalier King Charles Spaniel,Toy, Affectionate
Cavalier King Charles Spaniel,Toy, Sociable
Cavalier King Charles Spaniel,Toy, Patient
Cavalier King Charles Spaniel,Toy, Playful
Cavalier King Charles Spaniel,Toy, Adaptable
Chesapeake Bay Retriever,Sporting,Affectionate
Chesapeake Bay Retriever,Sporting, Intelligent
Chesapeake Bay Retriever,Sporting, Quiet
Chesapeake Bay Retriever,Sporting, Dominant
Chesapeake Bay Retriever,Sporting, Happy
Chesapeake Bay Retriever,Sporting, Protective
Chinese Crested,Toy,Affectionate
Chinese Crested,Toy, Sweet-Tempered
Chinese Crested,Toy, Lively
Chinese Crested,Toy, Alert
Chinese Crested,Toy, Playful
Chinese Crested,Toy, Happy
Chinese Shar-Pei,Non-Sporting,Suspicious
Chinese Shar-Pei,Non-Sporting, Affectionate
Chinese Shar-Pei,Non-Sporting, Devoted
Chinese Shar-Pei,Non-Sporting, Reserved
Chinese Shar-Pei,Non-Sporting, Independent
Chinese Shar-Pei,Non-Sporting, Loving
Chinook,Working,Friendly
Chinook,Working, Alert
Chinook,Working, Dignified
Chinook,Working, Intelligent
Chinook,Working, Calm
Chow Chow,Non-Sporting,Aloof
Chow Chow,Non-Sporting, Loyal
Chow Chow,Non-Sporting, Independent
Chow Chow,Non-Sporting, Quiet
Clumber Spaniel,Sporting,Affectionate
Clumber Spaniel,Sporting, Loyal
Clumber Spaniel,Sporting, Dignified
Clumber Spaniel,Sporting, Gentle
Clumber Spaniel,Sporting, Calm
Clumber Spaniel,Sporting, Great-hearted
Cocker Spaniel,Sporting,Trainable
Cocker Spaniel,Sporting, Friendly
Cocker Spaniel,Sporting, Affectionate
Cocker Spaniel,Sporting, Playful
Cocker Spaniel,Sporting, Quiet
Cocker Spaniel,Sporting, Faithful
Cocker Spaniel (American),Sporting,Outgoing
Cocker Spaniel (American),Sporting, Sociable
Cocker Spaniel (American),Sporting, Trusting
Cocker Spaniel (American),Sporting, Joyful
Cocker Spaniel (American),Sporting, Even Tempered
Cocker Spaniel (American),Sporting, Merry
Coton de Tulear,Non-Sporting,Affectionate
Coton de Tulear,Non-Sporting, Lively
Coton de Tulear,Non-Sporting, Playful
Coton de Tulear,Non-Sporting, Intelligent
Coton de Tulear,Non-Sporting, Trainable
Coton de Tulear,Non-Sporting, Vocal
Dalmatian,Non-Sporting,Outgoing
Dalmatian,Non-Sporting, Friendly
Dalmatian,Non-Sporting, Energetic
Dalmatian,Non-Sporting, Playful
Dalmatian,Non-Sporting, Sensitive
Dalmatian,Non-Sporting, Intelligent
Dalmatian,Non-Sporting, Active
Doberman Pinscher,Working,Fearless
Doberman Pinscher,Working, Energetic
Doberman Pinscher,Working, Alert
Doberman Pinscher,Working, Loyal
Doberman Pinscher,Working, Obedient
Doberman Pinscher,Working, Confident
Doberman Pinscher,Working, Intelligent
Dogo Argentino,Working,Friendly
Dogo Argentino,Working, Affectionate
Dogo Argentino,Working, Cheerful
Dogo Argentino,Working, Loyal
Dogo Argentino,Working, Tolerant
Dogo Argentino,Working, Protective
Dutch Shepherd,none,Reliable
Dutch Shepherd,none, Affectionate
Dutch Shepherd,none, Alert
Dutch Shepherd,none, Loyal
Dutch Shepherd,none, Obedient
Dutch Shepherd,none, Trainable
English Setter,Sporting,Strong Willed
English Setter,Sporting, Mischievous
English Setter,Sporting, Affectionate
English Setter,Sporting, Energetic
English Setter,Sporting, Playful
English Setter,Sporting, Companionable
English Setter,Sporting, Gentle
English Setter,Sporting, Hard-working
English Setter,Sporting, Intelligent
English Setter,Sporting, Eager
English Setter,Sporting, People-Oriented
English Shepherd,Working,Kind
English Shepherd,Working, Energetic
English Shepherd,Working, Independent
English Shepherd,Working, Adaptable
English Shepherd,Working, Intelligent
English Shepherd,Working, Bossy
English Springer Spaniel,Sporting,Affectionate
English Springer Spaniel,Sporting, Cheerful
English Springer Spaniel,Sporting, Alert
English Springer Spaniel,Sporting, Intelligent
English Springer Spaniel,Sporting, Attentive
English Springer Spaniel,Sporting, Active
English Toy Spaniel,Toy,Affectionate
English Toy Spaniel,Toy, Reserved
English Toy Spaniel,Toy, Playful
English Toy Spaniel,Toy, Gentle
English Toy Spaniel,Toy, Happy
English Toy Spaniel,Toy, Loving
English Toy Terrier,none,Stubborn
English Toy Terrier,none, Alert
English Toy Terrier,none, Companionable
English Toy Terrier,none, Intelligent
English Toy Terrier,none, Cunning
English Toy Terrier,none, Trainable
Eurasier,Non-Sporting,Alert
Eurasier,Non-Sporting, Reserved
Eurasier,Non-Sporting, Intelligent
Eurasier,Non-Sporting, Even Tempered
Eurasier,Non-Sporting, Watchful
Eurasier,Non-Sporting, Calm
Field Spaniel,Sporting,Docile
Field Spaniel,Sporting, Cautious
Field Spaniel,Sporting, Sociable
Field Spaniel,Sporting, Sensitive
Field Spaniel,Sporting, Adaptable
Field Spaniel,Sporting, Familial
Finnish Lapphund,Herding,Friendly
Finnish Lapphund,Herding, Keen
Finnish Lapphund,Herding, Faithful
Finnish Lapphund,Herding, Calm
Finnish Lapphund,Herding, Courageous
Finnish Spitz,Non-Sporting,Playful
Finnish Spitz,Non-Sporting, Loyal
Finnish Spitz,Non-Sporting, Independent
Finnish Spitz,Non-Sporting, Intelligent
Finnish Spitz,Non-Sporting, Happy
Finnish Spitz,Non-Sporting, Vocal
French Bulldog,Non-Sporting,Playful
French Bulldog,Non-Sporting, Affectionate
French Bulldog,Non-Sporting, Keen
French Bulldog,Non-Sporting, Sociable
French Bulldog,Non-Sporting, Lively
French Bulldog,Non-Sporting, Alert
French Bulldog,Non-Sporting, Easygoing
French Bulldog,Non-Sporting, Patient
French Bulldog,Non-Sporting, Athletic
French Bulldog,Non-Sporting, Bright
German Pinscher,Working,Spirited
German Pinscher,Working, Lively
German Pinscher,Working, Intelligent
German Pinscher,Working, Loving
German Pinscher,Working, Even Tempered
German Pinscher,Working, Familial
German Shepherd Dog,Herding,Alert
German Shepherd Dog,Herding, Loyal
German Shepherd Dog,Herding, Obedient
German Shepherd Dog,Herding, Curious
German Shepherd Dog,Herding, Confident
German Shepherd Dog,Herding, Intelligent
German Shepherd Dog,Herding, Watchful
German Shepherd Dog,Herding, Courageous
German Shorthaired Pointer,Sporting,Boisterous
German Shorthaired Pointer,Sporting, Bold
German Shorthaired Pointer,Sporting, Affectionate
German Shorthaired Pointer,Sporting, Intelligent
German Shorthaired Pointer,Sporting, Cooperative
German Shorthaired Pointer,Sporting, Trainable
Giant Schnauzer,Working,Strong Willed
Giant Schnauzer,Working, Kind
Giant Schnauzer,Working, Loyal
