,Dog Breed,ID Code,Breed Group,Temperament,Weight,Height,Bred For,Life Span,Origin,Country Code,Reference Image ID
0,Affenpinscher,1,Toy,"Stubborn, Curious, Playful, Adventurous, Active, Fun-loving",6 - 13,9 - 11.5,"Small rodent hunting, lapdog",10 - 12 years,"Germany, France",,BJa4kxc4X
1,Afghan Hound,2,Hound,"Aloof, Clownish, Dignified, Independent, Happy",50 - 60,25 - 27,Coursing and hunting,10 - 13 years,"Afghanistan, Iran, Pakistan",AG,hMyT4CDXR
2,African Hunting Dog,3,none,"Wild, Hardworking, Dutiful",44 - 66,30,A wild pack animal,11 years,,,rkiByec47
3,Airedale Terrier,4,Terrier,"Outgoing, Friendly, Alert, Confident, Intelligent, Courageous",40 - 65,21 - 23,"Badger, otter hunting",10 - 13 years,"United Kingdom, England",,1-7cgoZSh
4,Akbash Dog,5,Working,"Loyal, Independent, Intelligent, Brave",90 - 120,28 - 34,Sheep guarding,10 - 12 years,,,26pHT3Qk7
5,Akita,6,Working,"Docile, Alert, Responsive, Dignified, Composed, Friendly, Receptive, Faithful, Courageous",65 - 115,24 - 28,Hunting bears,10 - 14 years,none,,BFRYBufpm
6,Alapaha Blue Blood Bulldog,7,Mixed,"Loving, Protective, Trainable, Dutiful, Responsible",55 - 90,18 - 24,Guarding,12 - 13 years,none,,33mJ-V3RX
7,Alaskan Husky,8,Mixed,"Friendly, Energetic, Loyal, Gentle, Confident",38 - 50,23 - 26,Sled pulling,10 - 13 years,none,,-HgpNnGXl
8,Alaskan Malamute,9,Working,"Friendly, Affectionate, Devoted, Loyal, Dignified, Playful",65 - 100,23 - 25,"Hauling heavy freight, Sled pulling",12 - 15 years,none,,dW5UucTIW
9,American Bulldog,10,Working,"Friendly, Assertive, Energetic, Loyal, Gentle, Confident, Dominant",60 - 120,22 - 27,none,10 - 12 years,none,,pk1AAdloG
10,American Bully,11,none,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous",30 - 150,14 - 17,Family companion dog,8 – 15 years,none,US,sqQJDtbpY
11,American Eskimo Dog,12,Non-Sporting,"Friendly, Alert, Reserved, Intelligent, Protective",20 - 40,15 - 19,Circus performer,12 - 15 years,none,US,Bymjyec4m
12,American Eskimo Dog (Miniature),13,none,"Friendly, Alert, Reserved, Intelligent, Protective",7 - 10,9 - 12,Companionship,13 – 15 years,none,US,_gn8GLrE6
13,American Foxhound,14,Hound,"Kind, Sweet-Tempered, Loyal, Independent, Intelligent, Loving",65 - 75,21 - 28,"Fox hunting, scent hound",8 - 15 years,none,US,S14n1x9NQ
14,American Pit Bull Terrier,15,Terrier,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous",30 - 60,17 - 21,Fighting,10 - 15 years,none,US,HkC31gcNm
15,American Staffordshire Terrier,16,Terrier,"Tenacious, Friendly, Devoted, Loyal, Attentive, Courageous",50 - 60,17 - 19,,12 - 15 years,none,US,rJIakgc4m
16,American Water Spaniel,17,Sporting,"Friendly, Energetic, Obedient, Intelligent, Protective, Trainable",25 - 45,15 - 18,Bird flushing and retrieving,10 - 12 years,none,US,SkmRJl9VQ
17,Anatolian Shepherd Dog,18,Working,"Steady, Bold, Independent, Confident, Intelligent, Proud",80 - 150,27 - 29,Livestock herding,11 - 13 years,none,,BJT0Jx5Nm
18,Appenzeller Sennenhund,19,none,"Reliable, Fearless, Energetic, Lively, Self-assured",48 - 55,20 - 22,"Herding livestock, pulling carts, and guarding the farm",12 – 14 years,none,,HkNkxlqEX
19,Australian Cattle Dog,21,Herding,"Cautious, Energetic, Loyal, Obedient, Protective, Brave",44 - 62,17 - 20,"Cattle herding, herding trials",12 - 14 years,none,AU,IBkYVm4v1
20,Australian Kelpie,22,Herding,"Friendly, Energetic, Alert, Loyal, Intelligent, Eager",31 - 46,17 - 20,"Farm dog, Cattle herding",10 - 13 years,none,AU,Hyq1ge9VQ
21,Australian Shepherd,23,Herding,"Good-natured, Affectionate, Intelligent, Active, Protective",35 - 65,18 - 23,Sheep herding,12 - 16 years,none,AU,B1-llgq4m
22,Australian Terrier,24,Terrier,"Spirited, Alert, Loyal, Companionable, Even Tempered, Courageous",14 - 16,10 - 11,"Cattle herdering, hunting snakes and rodents",15 years,none,AU,r1Ylge5Vm
23,Azawakh,25,Hound,"Aloof, Affectionate, Attentive, Rugged, Fierce, Refined",33 - 55,23 - 29,"Livestock guardian, hunting",10 - 13 years,none,,SkvZgx94m
24,Barbet,26,none,"Obedient, Companionable, Intelligent, Joyful",40 - 65,20 - 26,Hunting water game,13 – 15 years,none,,HyWGexcVQ
25,Basenji,28,Hound,"Affectionate, Energetic, Alert, Curious, Playful, Intelligent",22 - 24,16 - 17,Hunting,10 - 12 years,none,,H1dGlxqNQ
26,Basset Bleu de Gascogne,29,Hound,"Affectionate, Lively, Agile, Curious, Happy, Active",35 - 40,13 - 15,Hunting on foot.,10 - 14 years,none,,BkMQll94X
27,Basset Hound,30,Hound,"Tenacious, Friendly, Affectionate, Devoted, Sweet-Tempered, Gentle",50 - 65,14,Hunting by scent,12 - 15 years,none,,Sy57xx9EX
28,Beagle,31,Hound,"Amiable, Even Tempered, Excitable, Determined, Gentle, Intelligent",20 - 35,13 - 15,"Rabbit, hare hunting",13 - 16 years,none,,Syd4xxqEm
29,Bearded Collie,32,Herding,"Self-confidence, Hardy, Lively, Alert, Intelligent, Active",45 - 55,20 - 22,Sheep herding,12 - 14 years,none,,A09F4c1qP
30,Beauceron,33,Herding,"Fearless, Friendly, Intelligent, Protective, Calm",80 - 110,24 - 27.5,"Boar herding, hunting, guarding",10 - 12 years,none,,HJQ8ge5V7
31,Bedlington Terrier,34,Terrier,"Affectionate, Spirited, Intelligent, Good-tempered",17 - 23,15 - 16,"Killing rat, badger, other vermin",14 - 16 years,none,,ByK8gx947
32,Belgian Malinois,36,Herding,"Watchful, Alert, Stubborn, Friendly, Confident, Hard-working, Active, Protective",40 - 80,22 - 26,Stock herding,12 - 14 years,none,,r1f_ll5VX
33,Belgian Tervuren,38,Herding,"Energetic, Alert, Loyal, Intelligent, Attentive, Protective",40 - 65,22 - 26,"Guarding, Drafting, Police work.",10 - 12 years,none,,B1KdxlcNX
34,Bernese Mountain Dog,41,Working,"Affectionate, Loyal, Intelligent, Faithful",65 - 120,23 - 27.5,Draft work,7 - 10 years,none,,S1fFlx5Em
35,Bichon Frise,42,Non-Sporting,"Feisty, Affectionate, Cheerful, Playful, Gentle, Sensitive",10 - 18,9.5 - 11.5,Companion,15 years,none,,HkuYlxqEQ
36,Black and Tan Coonhound,43,Hound,"Easygoing, Gentle, Adaptable, Trusting, Even Tempered, Lovable",65 - 100,23 - 27,"Hunting raccoons, night hunting",10 - 12 years,none,,HJAFgxcNQ
